2014-05-22 11:30:18 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2014-05-22 11:30:18 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/controller.php, line 742]
2014-05-22 12:52:22 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Lost connection to MySQL server at 'reading initial communication packet', system error: 113 in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2014-05-22 12:52:22 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2014-05-22 12:52:22 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2014-05-22 12:52:22 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
2014-05-22 12:52:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-05-22 12:52:22 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 682]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 545]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 1737]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 1777]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 1817]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 1924]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 1964]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 2020]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 2061]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 2101]
2014-05-22 12:52:22 Warning: Warning (2): Invalid argument supplied for foreach() in [/htdocs/public/www/actselector/app/controllers/public_controller.php, line 2145]
2014-05-30 08:03:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-06-05 16:12:59 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /htdocs/public/www/actselector/cake/libs/debugger.php:673) in [/htdocs/public/www/actselector/cake/libs/controller/components/request_handler.php, line 759]
2014-06-06 04:08:43 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on 'hostingmysql220.register.it' (4) in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 552]
2014-06-06 04:08:43 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 558]
2014-06-06 04:08:43 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 600]
2014-06-06 04:08:43 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/htdocs/public/www/actselector/cake/libs/model/datasources/dbo/dbo_mysql.php, line 566]
